bench-size,solver-version,Runtime (s),Reported Runtime (s),runtime-difference,runtime-difference-%,Num. variables,Num. constraints,bench-size-category
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day29-73-1h,scip-8.0.3,823.289188511997,823.129184,0.16000451199704457,0.019434788435183363,19392,25080,M
times-etimeseu-europe-elec+heat-single_stage-29-64ts,gurobi-10.0.0,12.014005894001455,8.633067846298218,3.3809380477032374,28.14163799762514,452854,456603,M
times-etimeseu-europe-elec+heat-single_stage-29-64ts,highs-1.5.0.dev0,167.6757437549968,164.51277208328247,3.162971671714331,1.886362094410017,452854,456603,M
times-etimeseu-europe-elec+heat-single_stage-29-64ts,scip-8.0.3,355.32785211500595,351.530858,3.79699411500593,1.0685889362191032,452854,456603,M
pypsa-power+ely+battery-1-1h,gurobi-10.0.0,15.360788582001987,14.151868104934692,1.208920477067295,7.870171968148624,87606,201486,M
pypsa-power+ely+battery-1-1h,highs-1.5.0.dev0,28.43728927399934,27.37848973274231,1.0587995412570308,3.7232787241261702,87606,201486,M
pypsa-power+ely+battery-1-1h,scip-8.0.3,161.62544642100693,160.791683,0.8337634210069211,0.5158614806452622,87606,201486,M
pypsa-power+ely-1-1h,gurobi-10.0.0,4.715068771001825,3.962822914123535,0.7522458568782895,15.95408027778262,61325,140165,M
pypsa-power+ely-1-1h,highs-1.5.0.dev0,4.813196555995091,4.082151889801025,0.7310446661940659,15.188340174545981,61325,140165,M
pypsa-power+ely-1-1h,scip-8.0.3,86.50840151400189,85.905623,0.6027785140018835,0.696786096439801,61325,140165,M
Sienna_modified_RTS_GMLC_DA_sys_NetTransport_Horizon48_Day29-73-1h,gurobi-11.0.0,902.4573515359951,902.0599720478058,0.3973794881893582,0.04403304904248524,35280,39168,M
SWITCH-3-zone-toy-3-6ts,gurobi-11.0.0,0.1388603490049718,0.0046908855438232,0.1341694634611486,96.62186824573281,618,775,S
